資料名稱,檔案格式,編碼,資源網址
臺北盆地(臺北市及新北市)-低潛勢範圍圖,JSON,UTF-8,http://www.geologycloud.tw/data/zh-tw/liquefaction?area=%E8%87%BA%E5%8C%97&classify=%E4%BD%8E%E6%BD%9B%E5%8B%A2&all=true
臺北盆地(臺北市及新北市)-中潛勢範圍圖,JSON,UTF-8,http://www.geologycloud.tw/data/zh-tw/liquefaction?area=%E8%87%BA%E5%8C%97&classify=%E4%B8%AD%E6%BD%9B%E5%8B%A2&all=true
臺北盆地(臺北市及新北市)-高潛勢範圍圖,JSON,UTF-8,http://www.geologycloud.tw/data/zh-tw/liquefaction?area=%E8%87%BA%E5%8C%97&classify=%E9%AB%98%E6%BD%9B%E5%8B%A2&all=true
新竹縣及新竹市-低潛勢範圍圖,JSON,UTF-8,http://www.geologycloud.tw/data/zh-tw/liquefaction?area=%E6%96%B0%E7%AB%B9&classify=%E4%BD%8E%E6%BD%9B%E5%8B%A2&all=true
新竹縣及新竹市-中潛勢範圍圖,JSON,UTF-8,http://www.geologycloud.tw/data/zh-tw/liquefaction?area=%E6%96%B0%E7%AB%B9&classify=%E4%B8%AD%E6%BD%9B%E5%8B%A2&all=true
新竹縣及新竹市-高潛勢範圍圖,JSON,UTF-8,http://www.geologycloud.tw/data/zh-tw/liquefaction?area=%E6%96%B0%E7%AB%B9&classify=%E9%AB%98%E6%BD%9B%E5%8B%A2&all=true
臺南市-低潛勢範圍圖,JSON,UTF-8,http://www.geologycloud.tw/data/zh-tw/liquefaction?area=%E8%87%BA%E5%8D%97&classify=%E4%BD%8E%E6%BD%9B%E5%8B%A2&all=true
臺南市-中潛勢範圍圖,JSON,UTF-8,http://www.geologycloud.tw/data/zh-tw/liquefaction?area=%E8%87%BA%E5%8D%97&classify=%E4%B8%AD%E6%BD%9B%E5%8B%A2&all=true
臺南市-高潛勢範圍圖,JSON,UTF-8,http://www.geologycloud.tw/data/zh-tw/liquefaction?area=%E8%87%BA%E5%8D%97&classify=%E9%AB%98%E6%BD%9B%E5%8B%A2&all=true
高雄市-低潛勢範圍圖,JSON,UTF-8,http://www.geologycloud.tw/data/zh-tw/liquefaction?area=%E9%AB%98%E9%9B%84&classify=%E4%BD%8E%E6%BD%9B%E5%8B%A2&all=true
高雄市-中潛勢範圍圖,JSON,UTF-8,http://www.geologycloud.tw/data/zh-tw/liquefaction?area=%E9%AB%98%E9%9B%84&classify=%E4%B8%AD%E6%BD%9B%E5%8B%A2&all=true
高雄市-高潛勢範圍圖,JSON,UTF-8,http://www.geologycloud.tw/data/zh-tw/liquefaction?area=%E9%AB%98%E9%9B%84&classify=%E9%AB%98%E6%BD%9B%E5%8B%A2&all=true
屏東縣-低潛勢範圍圖,JSON,UTF-8,http://www.geologycloud.tw/data/zh-tw/liquefaction?area=%E5%B1%8F%E6%9D%B1&classify=%E4%BD%8E%E6%BD%9B%E5%8B%A2&all=true
屏東縣-中潛勢範圍圖,JSON,UTF-8,http://www.geologycloud.tw/data/zh-tw/liquefaction?area=%E5%B1%8F%E6%9D%B1&classify=%E4%B8%AD%E6%BD%9B%E5%8B%A2&all=true
屏東縣-高潛勢範圍圖,JSON,UTF-8,http://www.geologycloud.tw/data/zh-tw/liquefaction?area=%E5%B1%8F%E6%9D%B1&classify=%E9%AB%98%E6%BD%9B%E5%8B%A2&all=true
宜蘭縣-低潛勢範圍圖,JSON,UTF-8,http://www.geologycloud.tw/data/zh-tw/liquefaction?area=%E5%AE%9C%E8%98%AD&classify=%E4%BD%8E%E6%BD%9B%E5%8B%A2&all=true
宜蘭縣-中潛勢範圍圖,JSON,UTF-8,http://www.geologycloud.tw/data/zh-tw/liquefaction?area=%E5%AE%9C%E8%98%AD&classify=%E4%B8%AD%E6%BD%9B%E5%8B%A2&all=true
宜蘭縣-高潛勢範圍圖,JSON,UTF-8,http://www.geologycloud.tw/data/zh-tw/liquefaction?area=%E5%AE%9C%E8%98%AD&classify=%E9%AB%98%E6%BD%9B%E5%8B%A2&all=true
臺中市-低潛勢範圍圖,JSON,UTF-8,http://www.geologycloud.tw/data/zh-tw/liquefaction?area=%E8%87%BA%E4%B8%AD&classify=%E4%BD%8E%E6%BD%9B%E5%8B%A2&all=true
臺中市-中潛勢範圍圖,JSON,UTF-8,http://www.geologycloud.tw/data/zh-tw/liquefaction?area=%E8%87%BA%E4%B8%AD&classify=%E4%B8%AD%E6%BD%9B%E5%8B%A2&all=true
臺中市- 高潛勢範圍圖,JSON,UTF-8,http://www.geologycloud.tw/data/zh-tw/liquefaction?area=%E8%87%BA%E4%B8%AD&classify=%E9%AB%98%E6%BD%9B%E5%8B%A2&all=true
彰化縣-低潛勢範圍圖,JSON,UTF-8,http://www.geologycloud.tw/data/zh-tw/liquefaction?area=%E5%BD%B0%E5%8C%96&classify=%E4%BD%8E%E6%BD%9B%E5%8B%A2&all=true
彰化縣-中潛勢範圍圖,JSON,UTF-8,http://www.geologycloud.tw/data/zh-tw/liquefaction?area=%E5%BD%B0%E5%8C%96&classify=%E4%B8%AD%E6%BD%9B%E5%8B%A2&all=true
彰化縣-高潛勢範圍圖,JSON,UTF-8,http://www.geologycloud.tw/data/zh-tw/liquefaction?area=%E5%BD%B0%E5%8C%96&classify=%E9%AB%98%E6%BD%9B%E5%8B%A2&all=true
雲林縣-低潛勢範圍圖,JSON,UTF-8,http://www.geologycloud.tw/data/zh-tw/liquefaction?area=%E9%9B%B2%E6%9E%97&classify=%E4%BD%8E%E6%BD%9B%E5%8B%A2&all=true
雲林縣-中潛勢範圍圖,JSON,UTF-8,http://www.geologycloud.tw/data/zh-tw/liquefaction?area=%E9%9B%B2%E6%9E%97&classify=%E4%B8%AD%E6%BD%9B%E5%8B%A2&all=true
雲林縣-高潛勢範圍圖,JSON,UTF-8,http://www.geologycloud.tw/data/zh-tw/liquefaction?area=%E9%9B%B2%E6%9E%97&classify=%E9%AB%98%E6%BD%9B%E5%8B%A2&all=true
嘉義縣-低潛勢範圍圖,JSON,UTF-8,http://www.geologycloud.tw/data/zh-tw/liquefaction?area=%E5%98%89%E7%BE%A9&classify=%E4%BD%8E%E6%BD%9B%E5%8B%A2&all=true
嘉義縣-中潛勢範圍圖,JSON,UTF-8,http://www.geologycloud.tw/data/zh-tw/liquefaction?area=%E5%98%89%E7%BE%A9&classify=%E4%B8%AD%E6%BD%9B%E5%8B%A2&all=true
嘉義縣-高潛勢範圍圖,JSON,UTF-8,http://www.geologycloud.tw/data/zh-tw/liquefaction?area=%E5%98%89%E7%BE%A9&classify=%E9%AB%98%E6%BD%9B%E5%8B%A2&all=true
